币种,最小下单量
GRTBUSD,1.00000000
IOSTBUSD,0.10000000
OMGBUSD,0.10000000
REEFBUSD,0.10000000
ACMBUSD,0.10000000
ACM-USDT,0.10000000
AUCTIONBUSD,0.01000000
PHABUSD,1.00000000
TVKBUSD,1.00000000
BADGERBUSD,0.01000000
BADGER-USDT,0.01000000
FISBUSD,1.00000000
FIS-USDT,1.00000000
OMBUSD,1.00000000
OM-USDT,1.00000000
PONDBUSD,0.01000000
POND-USDT,1.00000000
DEGOBUSD,0.01000000
DEGO-USDT,0.01000000
ALICEBUSD,0.01000000
ALICE-USDT,0.01000000
CHZBUSD,1.00000000
BIFIBUSD,0.00100000
LINABUSD,0.01000000
LINA-USDT,1.00000000
PERPBUSD,0.01000000
PERP-USDT,0.01000000
RAMPBUSD,1.00000000
RAMP-USDT,1.00000000
SUPERBUSD,1.00000000
SUPER-USDT,1.00000000
CFXBUSD,1.00000000
CFX-USDT,1.00000000
XVGBUSD,0.10000000
EPSBUSD,1.00000000
EPS-USDT,1.00000000
AUTOBUSD,0.00100000
AUTO-USDT,0.00100000
TKOBUSD,0.10000000
TKO-USDT,0.10000000
PUNDIX-USDT,0.10000000
TLMBUSD,1.00000000
TLM-USDT,1.00000000
1INCHUP-USDT,0.01000000
1INCHDOWN-USDT,0.01000000
BTGBUSD,0.01000000
BTG-USDT,0.01000000
HOTBUSD,0.10000000
MIRBUSD,0.10000000
MIR-USDT,0.10000000
BARBUSD,0.01000000
BAR-USDT,0.01000000
FORTHBUSD,0.01000000
FORTH-USDT,0.01000000
BAKE-USDT,0.10000000
BURGERBUSD,0.10000000
BURGER-USDT,0.10000000
SLPBUSD,1.00000000
SLP-USDT,1.00000000
SHIB-USDT,1.00
SHIBBUSD,1.00
ICPBUSD,0.01000000
ICP-USDT,0.01000000
ARBUSD,0.01000000
AR-USDT,0.01000000
POLSBUSD,0.10000000
POLS-USDT,0.10000000
MDXBUSD,0.10000000
MDX-USDT,0.10000000
MASKBUSD,0.10000000
MASK-USDT,0.10000000
LPTBUSD,0.01000000
LPT-USDT,0.01000000
NUBUSD,1.00000000
NU-USDT,1.00000000
XVG-USDT,1.00000000
RLCBUSD,0.10000000
CELRBUSD,1.00000000
ATMBUSD,0.01000000
ZENBUSD,0.01000000
FTMBUSD,1.00000000
THETABUSD,0.10000000
WINBUSD,1.00000000
KAVABUSD,0.10000000
XEMBUSD,1.00000000
ATABUSD,1.00000000
ATA-USDT,1.00000000
GTCBUSD,0.10000000
GTC-USDT,0.10000000
TORNBUSD,0.01000000
TORN-USDT,0.01000000
COTIBUSD,1.00000000
KEEPBUSD,1.00000000
KEEP-USDT,1.00000000
SCBUSD,1.00000000
CHRBUSD,1.00000000
STMXBUSD,1.00000000
HNTBUSD,0.01000000
FTTBUSD,0.01000000
DOCKBUSD,1.00000000
ERNBUSD,0.10000000
ERN-USDT,0.10000000
KLAYBUSD,0.10000000
KLAY-USDT,0.10000000
UTKBUSD,1.00000000
IOTXBUSD,1.00000000
PHA-USDT,1.00000000
BONDBUSD,0.01000000
BOND-USDT,0.01000000
MLNBUSD,0.00100000
MLN-USDT,0.00100000
DEXE-USDT,0.01000000
LTOBUSD,1.00000000
ADXBUSD,1.00000000
QUICKBUSD,0.00100000
C98-USDT,0.10000000
C98BUSD,0.10000000
CLVBUSD,0.10000000
CLV-USDT,0.10000000
QNTBUSD,0.00100000
QNT-USDT,0.00100000
FLOWBUSD,0.01000000
FLOW-USDT,0.01000000
XECBUSD,1.00
TVK-USDT,1.00000000
MINABUSD,0.10000000
MINA-USDT,0.10000000
RAYBUSD,0.10000000
RAY-USDT,0.10000000
FARMBUSD,0.00100000
FARM-USDT,0.00100000
ALPACABUSD,0.10000000
ALPACA-USDT,0.10000000
QUICK-USDT,1.00000000
ORNBUSD,0.10000000
MBOXBUSD,0.10000000
MBOX-USDT,0.10000000
FOR-USDT,1.00000000
REQ-USDT,1.00000000
GHST-USDT,0.10000000
WAXP-USDT,1.00000000
WAXPBUSD,1.00000000
TRIBEBUSD,1.00000000
TRIBE-USDT,1.00000000
GNO-USDT,0.00100000
GNOBUSD,0.00100000
MTLBUSD,0.10000000
OGNBUSD,0.10000000
XEC-USDT,1.00
POLYBUSD,0.10000000
ELF-USDT,0.10000000
DYDX-USDT,0.01000000
DYDXBUSD,0.01000000
ELFBUSD,0.10000000
POLY-USDT,0.10000000
IDEX-USDT,0.10000000
VIDT-USDT,1.00000000
USDPBUSD,0.01000000
USDP-USDT,1.00000000
GALA-USDT,1.00000000
GALABUSD,1.00000000
SUNBUSD,1.00000000
ILV-USDT,0.00100000
ILVBUSD,0.00100000
RENBUSD,1.00000000
YGG-USDT,0.10000000
YGGBUSD,0.10000000
STXBUSD,0.10000000
SYS-USDT,1.00000000
DF-USDT,1.00000000
